AB 名称,AB文件大小,统计的AB内存Kb(估算),冗余内存 Kb(估算),依赖AB数,冗余资源数,   网格数,   材质球,    贴图数,着色器, 图集数,动作文件,音效
activity42_bg_1,0,394867,0,0,0,0,0,1,0,1,0,0
activity42_bg_2,0,132723,0,0,0,0,0,1,0,1,0,0
activity43_bg_1,0,263795,0,0,0,0,0,1,0,1,0,0
activity43_bg_2,0,132723,0,0,0,0,0,1,0,1,0,0
activity44_bg_1,0,263795,0,0,0,0,0,1,0,1,0,0
activity44_bg_2,0,132723,0,0,0,0,0,1,0,1,0,0
activity45_bg_1,0,263795,0,0,0,0,0,1,0,1,0,0
activity45_bg_2,0,132723,0,0,0,0,0,1,0,1,0,0
activity46_bg_1,0,263795,0,0,0,0,0,1,0,1,0,0
activity46_bg_2,0,132723,0,0,0,0,0,1,0,1,0,0
activity51_bg_1,0,1574521,0,0,0,0,0,1,0,1,0,0
activity51_bg_2,0,788089,0,0,0,0,0,1,0,1,0,0
activity_2048_bg1,0,394867,0,0,0,0,0,1,0,1,0,0
activity_2048_bg2,0,132723,0,0,0,0,0,1,0,1,0,0
activity_bg1,0,509931,0,0,0,0,0,1,0,1,0,0
activity_bg10,0,504649,0,0,0,0,0,1,0,1,0,0
activity_bg11,0,410801,0,0,0,0,0,1,0,1,0,0
activity_bg11_gold,0,1634111,0,0,0,0,0,1,0,1,0,0
activity_bg11_power,0,1633727,0,0,0,0,0,1,0,1,0,0
activity_bg12,0,424929,0,0,0,0,0,1,0,1,0,0
activity_bg13,0,909529,0,0,0,0,0,1,0,1,0,0
activity_bg14,0,379687,0,0,0,0,0,1,0,1,0,0
activity_bg14_1,0,410619,0,0,0,0,0,1,0,1,0,0
activity_bg14_2,0,398897,0,0,0,0,0,1,0,1,0,0
activity_bg14_3,0,387067,0,0,0,0,0,1,0,1,0,0
activity_bg14_4,0,399399,0,0,0,0,0,1,0,1,0,0
activity_bg14_5,0,1312271,0,0,0,0,0,1,0,1,0,0
activity_bg14_6,0,1763237,0,0,0,0,0,1,0,1,0,0
activity_bg14_7,0,2375355,0,0,0,0,0,1,0,1,0,0
activity_bg15,0,1391257,0,0,0,0,0,1,0,1,0,0
activity_bg15_xf,0,425587,0,0,0,0,0,1,0,1,0,0
activity_bg16,0,615335,0,0,0,0,0,1,0,1,0,0
activity_bg17,0,1483897,0,0,0,0,0,1,0,1,0,0
activity_bg18,0,633321,0,0,0,0,0,1,0,1,0,0
activity_bg19,0,625079,0,0,0,0,0,1,0,1,0,0
activity_bg2,0,540657,0,0,0,0,0,1,0,1,0,0
activity_bg20,0,624017,0,0,0,0,0,1,0,1,0,0
activity_bg3_double_drop_1,0,394867,0,0,0,0,0,1,0,1,0,0
activity_bg3_double_drop_2,0,198259,0,0,0,0,0,1,0,1,0,0
activity_bg4,0,773163,0,0,0,0,0,1,0,1,0,0
activity_bg5,0,772711,0,0,0,0,0,1,0,1,0,0
activity_bg6,0,435441,0,0,0,0,0,1,0,1,0,0
activity_bg7,0,651889,0,0,0,0,0,1,0,1,0,0
activity_bg8,0,435781,0,0,0,0,0,1,0,1,0,0
activity_bg9,0,651815,0,0,0,0,0,1,0,1,0,0
activity_bg_gold_blessing_1,0,2623097,0,0,0,0,0,1,0,1,0,0
activity_bg_gold_blessing_2,0,1312377,0,0,0,0,0,1,0,1,0,0
activity_bg_ninja_1,0,394867,0,0,0,0,0,1,0,1,0,0
activity_bg_ninja_2,0,132723,0,0,0,0,0,1,0,1,0,0
activity_candies_bg1,0,394867,0,0,0,0,0,1,0,1,0,0
activity_candies_bg2,0,132723,0,0,0,0,0,1,0,1,0,0
activity_coin_bg1,0,394867,0,0,0,0,0,1,0,1,0,0
activity_coin_bg2,0,198259,0,0,0,0,0,1,0,1,0,0
activity_dailyprepaid01,0,3933817,0,0,0,0,0,1,0,1,0,0
activity_dailyprepaid01_leidao,0,3933817,0,0,0,0,0,1,0,1,0,0
activity_dailyprepaid01_lg,0,3933817,0,0,0,0,0,1,0,1,0,0
activity_dailyprepaid01_maliluosi,0,3933817,0,0,0,0,0,1,0,1,0,0
activity_dailyprepaid01_ntg,0,3933817,0,0,0,0,0,1,0,1,0,0
activity_dailyprepaid01_sx,0,3933817,0,0,0,0,0,1,0,1,0,0
activity_dailyprepaid01_yf,0,3933817,0,0,0,0,0,1,0,1,0,0
activity_dailyprepaid01_zbxp,0,3933817,0,0,0,0,0,1,0,1,0,0
activity_dailyprepaid03,0,5534,0,0,0,0,0,1,0,1,0,0
activity_dailyprepaid04,0,6368,0,0,0,0,0,1,0,1,0,0
activity_dailyprepaid05,0,16238,0,0,0,0,0,1,0,1,0,0
activity_dailyprepaid06,0,16264,0,0,0,0,0,1,0,1,0,0
activity_degree,0,31755,0,0,0,0,0,1,0,1,0,0
activity_fireworks_bg1,0,394867,0,0,0,0,0,1,0,1,0,0
activity_fireworks_bg2,0,132723,0,0,0,0,0,1,0,1,0,0
activity_gjzq_01,0,394867,0,0,0,0,0,1,0,1,0,0
activity_gjzq_02,0,198259,0,0,0,0,0,1,0,1,0,0
activity_hbjnh_01,0,394867,0,0,0,0,0,1,0,1,0,0
activity_hbjnh_02,0,132723,0,0,0,0,0,1,0,1,0,0
activity_hy_01,0,394867,0,0,0,0,0,1,0,1,0,0
activity_hy_02,0,132723,0,0,0,0,0,1,0,1,0,0
activity_klr_01,0,394867,0,0,0,0,0,1,0,1,0,0
activity_klr_02,0,132723,0,0,0,0,0,1,0,1,0,0
activity_ls_01,0,394867,0,0,0,0,0,1,0,1,0,0
activity_ls_02,0,198259,0,0,0,0,0,1,0,1,0,0
activity_ly_01,0,394867,0,0,0,0,0,1,0,1,0,0
activity_ly_02,0,132723,0,0,0,0,0,1,0,1,0,0
activity_xsjf_frame_1,0,263795,0,0,0,0,0,1,0,1,0,0
activity_xsjf_frame_2,0,132723,0,0,0,0,0,1,0,1,0,0
activity_xsjl_1,0,263795,0,0,0,0,0,1,0,1,0,0
activity_xsjl_2,0,132723,0,0,0,0,0,1,0,1,0,0
activity_zongzi_bg1,0,1574521,0,0,0,0,0,1,0,1,0,0
activity_zongzi_bg2,0,1312377,0,0,0,0,0,1,0,1,0,0
album_01,0,31698,0,0,0,0,0,1,0,1,0,0
album_02,0,31698,0,0,0,0,0,1,0,1,0,0
album_03,0,31698,0,0,0,0,0,1,0,1,0,0
album_04,0,31781,0,0,0,0,0,1,0,1,0,0
album_05,0,31781,0,0,0,0,0,1,0,1,0,0
album_06,0,31781,0,0,0,0,0,1,0,1,0,0
album_fragment_2090001,0,31807,0,0,0,0,0,1,0,1,0,0
album_fragment_2090002,0,31807,0,0,0,0,0,1,0,1,0,0
album_fragment_2090003,0,31672,0,0,0,0,0,1,0,1,0,0
album_fragment_2090004,0,31672,0,0,0,0,0,1,0,1,0,0
album_fragment_2090005,0,31755,0,0,0,0,0,1,0,1,0,0
album_fragment_2090006,0,31807,0,0,0,0,0,1,0,1,0,0
alp_battle_attack_hu_mp3,0,42143,0,0,0,0,0,0,0,0,0,1
alp_battle_attack_sya_mp3,0,42239,0,0,0,0,0,0,0,0,0,1
alp_battle_entry_huuuh_mp3,0,49311,0,0,0,0,0,0,0,0,0,1
alp_battle_hold_syaa_mp3,0,41951,0,0,0,0,0,0,0,0,0,1
alp_battle_lose_aaaaae_mp3,0,57055,0,0,0,0,0,0,0,0,0,1
alp_battle_minskill_uha_mp3,0,46591,0,0,0,0,0,0,0,0,0,1
alp_battle_uniqueskill_appear_mp3,0,53311,0,0,0,0,0,0,0,0,0,1
alp_battle_uniqueskill_waveshot_mp3,0,53023,0,0,0,0,0,0,0,0,0,1
alp_battle_winpose_uhaha_mp3,0,44575,0,0,0,0,0,0,0,0,0,1
alp_hit_biz_mp3,0,51135,0,0,0,0,0,0,0,0,0,1
alp_hit_zihu_mp3,0,50751,0,0,0,0,0,0,0,0,0,1
alp_nor_mp3,0,42975,0,0,0,0,0,0,0,0,0,1
alp_waveshot_shot_mp3,0,53279,0,0,0,0,0,0,0,0,0,1
alp_x01_guard1_mp3,0,37279,0,0,0,0,0,0,0,0,0,1
alp_x01_p_kaze1_mp3,0,50591,0,0,0,0,0,0,0,0,0,1
alpha152_gacha_show,0,17880,0,0,0,0,0,0,0,0,1,0
alpha152_pose,0,6338,0,0,0,0,0,0,0,0,1,0
alpha152_uniqueskills,0,6420,0,0,0,0,0,0,0,0,1,0
alpha152_victory,0,6530,0,0,0,0,0,0,0,0,1,0
animation_2048_num_appear,0,7768,0,0,0,0,0,0,0,0,1,0
animation_2048_num_combine,0,7492,0,0,0,0,0,0,0,0,1,0
animation_2048_num_empty,0,7216,0,0,0,0,0,0,0,0,1,0
animation_2048_num_shake,0,7788,0,0,0,0,0,0,0,0,1,0
animation_2048_num_shake2,0,7788,0,0,0,0,0,0,0,0,1,0
animation_2048_num_shake3,0,7788,0,0,0,0,0,0,0,0,1,0
animation_zack,0,16522,0,6,0,0,0,0,0,0,0,0
appreciate_1,0,1020285,0,0,0,0,0,1,0,1,0,0
appreciate_2,0,1020079,0,0,0,0,0,1,0,1,0,0
appreciate_2_1,0,2223083,0,0,0,0,0,1,0,1,0,0
appreciate_2_10,0,2223083,0,0,0,0,0,1,0,1,0,0
appreciate_2_2,0,2223569,0,0,0,0,0,1,0,1,0,0
appreciate_2_3,0,2223057,0,0,0,0,0,1,0,1,0,0
appreciate_2_4,0,2223403,0,0,0,0,0,1,0,1,0,0
appreciate_2_5,0,2223527,0,0,0,0,0,1,0,1,0,0
appreciate_2_6,0,2223275,0,0,0,0,0,1,0,1,0,0
appreciate_2_7,0,2223115,0,0,0,0,0,1,0,1,0,0
appreciate_2_8,0,2223287,0,0,0,0,0,1,0,1,0,0
appreciate_2_9,0,2223301,0,0,0,0,0,1,0,1,0,0
appreciate_3,0,1020091,0,0,0,0,0,1,0,1,0,0
appreciate_3_1,0,1193829,0,0,0,0,0,1,0,1,0,0
appreciate_3_2,0,1194027,0,0,0,0,0,1,0,1,0,0
appreciate_3_3,0,1194099,0,0,0,0,0,1,0,1,0,0
appreciate_3_4,0,1193855,0,0,0,0,0,1,0,1,0,0
appreciate_3_5,0,1193835,0,0,0,0,0,1,0,1,0,0
appreciate_3_6,0,1193893,0,0,0,0,0,1,0,1,0,0
appreciate_3_7,0,1193829,0,0,0,0,0,1,0,1,0,0
appreciate_3_8,0,1193829,0,0,0,0,0,1,0,1,0,0
appreciate_4,0,1020079,0,0,0,0,0,1,0,1,0,0
appreciate_5,0,1020131,0,0,0,0,0,1,0,1,0,0
appreciate_6,0,1020105,0,0,0,0,0,1,0,1,0,0
appreciate_7,0,1020213,0,0,0,0,0,1,0,1,0,0
appreciate_8,0,1020027,0,0,0,0,0,1,0,1,0,0
aqu_waterfall_stereo_loop_l_mp3,0,47423,0,0,0,0,0,0,0,0,0,1
arena_4080001,0,22814,0,0,0,0,0,1,0,1,0,0
arena_frame5,0,431933,0,0,0,0,0,1,0,1,0,0
arena_frame6,0,432271,0,0,0,0,0,1,0,1,0,0
arenaaward_blue,0,231137,0,0,0,0,0,1,0,1,0,0
arenaaward_gray,0,231137,0,0,0,0,0,1,0,1,0,0
arenaaward_green,0,231137,0,0,0,0,0,1,0,1,0,0
arenaaward_porple,0,231137,0,0,0,0,0,1,0,1,0,0
arenaaward_red,0,231137,0,0,0,0,0,1,0,1,0,0
arenaaward_yellow,0,231137,0,0,0,0,0,1,0,1,0,0
arrow_hold_effect_mp3,0,51775,0,0,0,0,0,0,0,0,0,1
arrow_hold_voice_mp3,0,39199,0,0,0,0,0,0,0,0,0,1
arrow_infinity_mp3,0,37247,0,0,0,0,0,0,0,0,0,1
arrow_land_mp3,0,40143,0,0,0,0,0,0,0,0,0,1
arrow_ready_mp3,0,51583,0,0,0,0,0,0,0,0,0,1
arrow_shutdown,0,47391,0,0,0,0,0,0,0,0,0,1
arrow_shutdown_crit_mp3,0,49503,0,0,0,0,0,0,0,0,0,1
arrow_shutdown_mp3,0,53023,0,0,0,0,0,0,0,0,0,1
arrow_throw1,0,38751,0,0,0,0,0,0,0,0,0,1
arrow_throw1_mp3,0,50207,0,0,0,0,0,0,0,0,0,1
arrow_throw2,0,39695,0,0,0,0,0,0,0,0,0,1
arrow_throw2_mp3,0,52127,0,0,0,0,0,0,0,0,0,1
arrow_throw_voice1_mp3,0,35327,0,0,0,0,0,0,0,0,0,1
arrow_throw_voice2_mp3,0,36031,0,0,0,0,0,0,0,0,0,1
arrow_water,0,86079,0,0,0,0,0,0,0,0,0,1
artist_4160001,0,15758,0,0,0,0,0,1,0,1,0,0
artistictext_unname_1003000,0,524392,0,0,0,0,0,1,0,0,0,0
assets/prefabs/material/m_arena_score_0.mat,0,4320,3016,0,1,0,1,0,1,0,0,0
assets/prefabs/material/m_arena_score_1.mat,0,4320,3016,0,1,0,1,0,1,0,0,0
assets/prefabs/material/m_arena_score_2.mat,0,4320,3016,0,1,0,1,0,1,0,0,0
assets/prefabs/material/m_arena_score_3.mat,0,4320,3016,0,1,0,1,0,1,0,0,0
assets/prefabs/material/m_arena_score_4.mat,0,4320,3016,0,1,0,1,0,1,0,0,0
assets/prefabs/material/m_arena_score_5.mat,0,4320,3016,0,1,0,1,0,1,0,0,0
assets/prefabs/material/m_arena_score_6.mat,0,4320,3016,0,1,0,1,0,1,0,0,0
assets/prefabs/material/m_arena_score_7.mat,0,4320,3016,0,1,0,1,0,1,0,0,0
assets/prefabs/material/m_arena_score_8.mat,0,4320,3016,0,1,0,1,0,1,0,0,0
assets/prefabs/material/m_arena_score_9.mat,0,4320,3016,0,1,0,1,0,1,0,0,0
assets/prefabs/material/m_arena_time_0.mat,0,4320,3016,0,1,0,1,0,1,0,0,0
assets/prefabs/material/m_arena_time_1.mat,0,4320,3016,0,1,0,1,0,1,0,0,0
assets/prefabs/material/m_arena_time_2.mat,0,4320,3016,0,1,0,1,0,1,0,0,0
assets/prefabs/material/m_arena_time_3.mat,0,4320,3016,0,1,0,1,0,1,0,0,0
assets/prefabs/material/m_arena_time_4.mat,0,4320,3016,0,1,0,1,0,1,0,0,0
assets/prefabs/material/m_arena_time_5.mat,0,4320,3016,0,1,0,1,0,1,0,0,0
assets/prefabs/material/m_arena_time_6.mat,0,4320,3016,0,1,0,1,0,1,0,0,0
assets/prefabs/material/m_arena_time_7.mat,0,4320,3016,0,1,0,1,0,1,0,0,0
assets/prefabs/material/m_arena_time_8.mat,0,4320,3016,0,1,0,1,0,1,0,0,0
assets/prefabs/material/m_arena_time_9.mat,0,4320,3016,0,1,0,1,0,1,0,0,0
avg01_qte_baozha_mp3,0,60383,0,0,0,0,0,0,0,0,0,1
avg01_qte_bianshen_mp3,0,41727,0,0,0,0,0,0,0,0,0,1
avg01_qte_fangbo_mp3,0,38847,0,0,0,0,0,0,0,0,0,1
avg01_qte_fanjibo_mp3,0,61695,0,0,0,0,0,0,0,0,0,1
avg01_qte_feixing_mp3,0,60031,0,0,0,0,0,0,0,0,0,1
avg01_qte_xuli_mp3,0,42335,0,0,0,0,0,0,0,0,0,1
avg_loading_bg_00,0,788083,0,0,0,0,0,1,0,1,0,0
avg_loading_bg_01,0,525939,0,0,0,0,0,1,0,1,0,0
avg_loading_bg_02,0,525939,0,0,0,0,0,1,0,1,0,0
avg_loading_bg_03,0,525939,0,0,0,0,0,1,0,1,0,0
avg_loading_bg_04,0,525939,0,0,0,0,0,1,0,1,0,0
avg_loading_bg_05,0,525939,0,0,0,0,0,1,0,1,0,0
avg_loading_bg_06,0,525939,0,0,0,0,0,1,0,1,0,0
avg_loading_bg_07,0,525939,0,0,0,0,0,1,0,1,0,0
avg_loading_bg_08,0,525939,0,0,0,0,0,1,0,1,0,0
avg_loading_bg_10,0,525939,0,0,0,0,0,1,0,1,0,0
avg_loading_bg_11,0,525939,0,0,0,0,0,1,0,1,0,0
avg_qte_wrong_mp3,0,52383,0,0,0,0,0,0,0,0,0,1
avg_xia,0,764103,0,0,0,0,0,1,0,1,0,0
avtoar_1004000_3,0,22823,0,0,0,0,0,1,0,1,0,0
avtoar_1008000_2,0,22823,0,0,0,0,0,1,0,1,0,0
avtoar_1016000_2,0,22823,0,0,0,0,0,1,0,1,0,0
avtoar_1023000_3,0,22823,0,0,0,0,0,1,0,1,0,0
avtoar_1040401,0,22479,0,0,0,0,0,1,0,1,0,0
avtoar_1040801,0,22567,0,0,0,0,0,1,0,1,0,0
avtoar_1041601,0,22569,0,0,0,0,0,1,0,1,0,0
avtoar_1042301,0,22675,0,0,0,0,0,1,0,1,0,0
avtoar_1042801,0,22517,0,0,0,0,0,1,0,1,0,0
aya_avg01_mp3,0,38559,0,0,0,0,0,0,0,0,0,1
aya_avg02_mp3,0,39263,0,0,0,0,0,0,0,0,0,1
aya_avg03_mp3,0,37631,0,0,0,0,0,0,0,0,0,1
aya_avg04_mp3,0,39135,0,0,0,0,0,0,0,0,0,1
aya_avg05_mp3,0,38527,0,0,0,0,0,0,0,0,0,1
aya_avg06_mp3,0,47199,0,0,0,0,0,0,0,0,0,1
aya_avg07_mp3,0,36927,0,0,0,0,0,0,0,0,0,1
aya_avg08_mp3,0,39391,0,0,0,0,0,0,0,0,0,1
aya_battle_attack_ya_mp3,0,35935,0,0,0,0,0,0,0,0,0,1
aya_battle_entry_mp3,0,40255,0,0,0,0,0,0,0,0,0,1
aya_battle_hold_mudayo_mp3,0,36639,0,0,0,0,0,0,0,0,0,1
aya_battle_lose_mp3,0,38175,0,0,0,0,0,0,0,0,0,1
aya_battle_pose_kurae_mp3,0,36543,0,0,0,0,0,0,0,0,0,1
aya_battle_uniqueskill_fun_mp3,0,35295,0,0,0,0,0,0,0,0,0,1
aya_battle_uniqueskill_ha_mp3,0,35871,0,0,0,0,0,0,0,0,0,1
aya_battle_uniqueskill_haa_mp3,0,36831,0,0,0,0,0,0,0,0,0,1
aya_battle_win_mp3,0,53855,0,0,0,0,0,0,0,0,0,1
aya_nor_mp3,0,36959,0,0,0,0,0,0,0,0,0,1
aya_random01_mp3,0,46847,0,0,0,0,0,0,0,0,0,1
aya_random02_mp3,0,40159,0,0,0,0,0,0,0,0,0,1
ayane_dartsin,0,6164,0,0,0,0,0,0,0,0,1,0
ayane_gacha_show,0,19540,0,0,0,0,0,0,0,0,1,0
ayane_pose,0,6358,0,0,0,0,0,0,0,0,1,0
ayane_uniqueskills01,0,6164,0,0,0,0,0,0,0,0,1,0
ayane_uniqueskills02,0,6164,0,0,0,0,0,0,0,0,1,0
ayane_uniqueskills03,0,6164,0,0,0,0,0,0,0,0,1,0
ayane_uniqueskills04,0,6164,0,0,0,0,0,0,0,0,1,0
ayane_victory,0,6310,0,0,0,0,0,0,0,0,1,0
ayaneb_gacha_show,0,19464,0,0,0,0,0,0,0,0,1,0
ayaneb_pose,0,6358,0,0,0,0,0,0,0,0,1,0
ayaneb_uniqueskills,0,6668,0,0,0,0,0,0,0,0,1,0
ayaneb_victory,0,6310,0,0,0,0,0,0,0,0,1,0
badge_1,0,31651,0,0,0,0,0,1,0,1,0,0
badge_2,0,101657,0,0,0,0,0,1,0,1,0,0
badge_3,0,101657,0,0,0,0,0,1,0,1,0,0
badge_4,0,101657,0,0,0,0,0,1,0,1,0,0
badge_5,0,31651,0,0,0,0,0,1,0,1,0,0
banner_1,0,788083,0,0,0,0,0,1,0,1,0,0
banner_11,0,525939,0,0,0,0,0,1,0,1,0,0
banner_12,0,525939,0,0,0,0,0,1,0,1,0,0
banner_13,0,525939,0,0,0,0,0,1,0,1,0,0
banner_14,0,525939,0,0,0,0,0,1,0,1,0,0
banner_15,0,525939,0,0,0,0,0,1,0,1,0,0
banner_15_2,0,525939,0,0,0,0,0,1,0,1,0,0
banner_15_3,0,525939,0,0,0,0,0,1,0,1,0,0
banner_15_4,0,3147385,0,0,0,0,0,1,0,1,0,0
banner_21,0,525939,0,0,0,0,0,1,0,1,0,0
banner_24,0,525939,0,0,0,0,0,1,0,1,0,0
banner_42,0,525939,0,0,0,0,0,1,0,1,0,0
banner_43,0,525939,0,0,0,0,0,1,0,1,0,0
banner_44,0,525939,0,0,0,0,0,1,0,1,0,0
banner_45,0,525939,0,0,0,0,0,1,0,1,0,0
banner_46,0,525939,0,0,0,0,0,1,0,1,0,0
banner_47,0,525939,0,0,0,0,0,1,0,1,0,0
banner_47_1,0,525939,0,0,0,0,0,1,0,1,0,0
banner_47_2,0,3147385,0,0,0,0,0,1,0,1,0,0
banner_48,0,3147385,0,0,0,0,0,1,0,1,0,0
banner_49,0,3147385,0,0,0,0,0,1,0,1,0,0
banner_55,0,3147385,0,0,0,0,0,1,0,1,0,0
banner_7,0,525939,0,0,0,0,0,1,0,1,0,0
banner_7_2,0,525939,0,0,0,0,0,1,0,1,0,0
banner_7_3,0,3147385,0,0,0,0,0,1,0,1,0,0
banner_7_4,0,3147385,0,0,0,0,0,1,0,1,0,0
banner_7_5,0,3147385,0,0,0,0,0,1,0,1,0,0
banner_998,0,3159673,0,0,0,0,0,1,0,1,0,0
banner_999,0,525939,0,0,0,0,0,1,0,1,0,0
banner_ccbtdlshl,0,525939,0,0,0,0,0,1,0,1,0,0
banner_cjqtl,0,525939,0,0,0,0,0,1,0,1,0,0
banner_clht_guides01,0,525939,0,0,0,0,0,1,0,1,0,0
banner_clone_leidao,0,525939,0,0,0,0,0,1,0,1,0,0
banner_clone_liqiang,0,525939,0,0,0,0,0,1,0,1,0,0
banner_cqklt_sx,0,525939,0,0,0,0,0,1,0,1,0,0
banner_dbcz,0,525939,0,0,0,0,0,1,0,1,0,0
banner_djzf,0,3147385,0,0,0,0,0,1,0,1,0,0
banner_dwa_guides01,0,525939,0,0,0,0,0,1,0,1,0,0
banner_dwa_guides02,0,525939,0,0,0,0,0,1,0,1,0,0
banner_dwa_guides03,0,525939,0,0,0,0,0,1,0,1,0,0
banner_dwa_guides04,0,525939,0,0,0,0,0,1,0,1,0,0
banner_gcczfl,0,525939,0,0,0,0,0,1,0,1,0,0
banner_guild2,0,525939,0,0,0,0,0,1,0,1,0,0
banner_jibanguize_guides01,0,525939,0,0,0,0,0,1,0,1,0,0
banner_ldjl,0,525939,0,0,0,0,0,1,0,1,0,0
banner_lg,0,525939,0,0,0,0,0,1,0,1,0,0
banner_ljcz_1,0,525939,0,0,0,0,0,1,0,1,0,0
banner_ljczszk,0,525939,0,0,0,0,0,1,0,1,0,0
banner_mrxgczsmlls,0,525939,0,0,0,0,0,1,0,1,0,0
banner_mrxgczsntg,0,525939,0,0,0,0,0,1,0,1,0,0
banner_mrxgczssx,0,525939,0,0,0,0,0,1,0,1,0,0
banner_mrxgczsyfsp,0,525939,0,0,0,0,0,1,0,1,0,0
banner_pata_guides01,0,525939,0,0,0,0,0,1,0,1,0,0
banner_pata_guides02,0,525939,0,0,0,0,0,1,0,1,0,0
banner_pata_guides03,0,525939,0,0,0,0,0,1,0,1,0,0
banner_pata_guides04,0,525939,0,0,0,0,0,1,0,1,0,0
banner_pata_guides05,0,525939,0,0,0,0,0,1,0,1,0,0
banner_rztb_guides,0,525939,0,0,0,0,0,1,0,1,0,0
banner_starstone_task_guides01,0,525939,0,0,0,0,0,1,0,1,0,0
banner_starstone_task_guides02,0,525939,0,0,0,0,0,1,0,1,0,0
banner_starstone_task_guides03,0,525939,0,0,0,0,0,1,0,1,0,0
banner_starstone_task_guides04,0,525939,0,0,0,0,0,1,0,1,0,0
banner_starstone_task_guides05,0,525939,0,0,0,0,0,1,0,1,0,0
banner_starstone_task_guides06,0,525939,0,0,0,0,0,1,0,1,0,0
banner_vip,0,525939,0,0,0,0,0,1,0,1,0,0
banner_xinyun_guides01,0,525939,0,0,0,0,0,1,0,1,0,0
banner_xinyun_guides02,0,525939,0,0,0,0,0,1,0,1,0,0
banner_xinyun_guides03,0,525939,0,0,0,0,0,1,0,1,0,0
banner_xinyun_guides04,0,525939,0,0,0,0,0,1,0,1,0,0
banner_xinyun_guides05,0,525939,0,0,0,0,0,1,0,1,0,0
banner_xinyun_guides06,0,525939,0,0,0,0,0,1,0,1,0,0
banner_xsjf_dsjdklt,0,525939,0,0,0,0,0,1,0,1,0,0
banner_xsjf_mlls,0,525939,0,0,0,0,0,1,0,1,0,0
banner_xsjf_ntg,0,525939,0,0,0,0,0,1,0,1,0,0
banner_ycpd_guides01,0,525939,0,0,0,0,0,1,0,1,0,0
banner_zbxp,0,3147385,0,0,0,0,0,1,0,1,0,0
banner_zjdyjb,0,525939,0,0,0,0,0,1,0,1,0,0
banner_zjdyzs,0,525939,0,0,0,0,0,1,0,1,0,0
