动作名称,占用内存
A_M_Map_Main_Bar_Fan,2504,p_map_main_bar
A_M_Map_Main_Castle_Water01,2632,p_map_main_castle
A_M_Map_Main_ChinaTown_Light,2848,p_map_main_chinatown
A_Main_Map_DailyHigher_pata_DOOR,3168,p_main_map_dailyhigher_pata01
A_Main_Map_DailyHigher_pata_DOOR,2300,p_main_map_dailyhigher_pata02
A_Main_Map_DailyHigher_pata_DOOR_OFF,2216,p_main_map_dailyhigher_pata01
A_Main_Map_DailyHigher_pata_DOOR_OFF,2232,p_main_map_dailyhigher_pata02
A_Main_Map_DailyHigher_pata_Prize_Boom,15252,eff_pata_prize,s_main_map_dailyhigher_pata_prize,trialprize
A_Main_Map_DailyHigher_pata_Prize_Keep Out,4912,p_main_map_dailyhigher_pata01
A_Main_Map_DailyHigher_pata_Prize_Keep Out_OFF,2712,p_main_map_dailyhigher_pata01
A_Main_Map_DailyHigher_pata_Prize_Standby,4556,eff_pata_prize,s_main_map_dailyhigher_pata_prize,trialprize
A_Map_Main_Cabin_Water,3116,p_map_main_cabin
A_Map_Main_ChapterOne_Buoy,0,p_map_main_conference,p_map_main_wharf
A_Map_Main_ChapterOne_Water,2408,p_map_main_wharf
A_Map_Main_ChapterOne_Water02,2228,p_map_main_wharf
A_Map_Main_Circus,6464,p_map_main_circus
A_Map_Main_Circus_Role,4392,p_map_main_circus
A_Map_Main_Circus_Synthesize_Startle,0,p_map_main_circus
A_Map_Main_Cliff_Water,2416,p_map_main_cliff
A_Map_Main_ClockTower2F_Flag,5252,p_map_main_clocktower2f
A_Map_Main_ClockTower2F_Flame,2472,p_map_main_clocktower1f
A_Map_Main_ClockTower2F_Flame02,2256,p_map_main_clocktower2f
A_Map_Main_Conference_NeonLight01_Saloon,2744,p_map_main_conference
A_Map_Main_Conference_NeonLight01_Store,2480,p_map_main_conference
A_Map_Main_Conference_Water01,3776,p_map_main_conference
A_Map_Main_DWA_Audience,3688,p_map_main_dwa
A_Map_Main_DWA_Light01,0,p_map_main_dwa
A_Map_Main_DWA_Light02,2588,p_map_main_dwa
A_Map_Main_DartActivities_Light01,2416,p_map_main_dartactivities
A_Map_Main_DartActivities_Water,2408,p_map_main_dartactivities
A_Map_Main_Demo_Ladder_Passway,2200,p_map_main_demo_ladder_passway
A_Map_Main_Demo_Ladder_Passway_Searchlight_B01,2504,p_map_main_demo_ladder_passway
A_Map_Main_Demo_Ladder_Passway_Searchlight_B02,2540,p_map_main_demo_ladder_passway
A_Map_Main_Demo_Ladder_Passway_Searchlight_B03,2504,p_map_main_demo_ladder_passway
A_Map_Main_GermanTown_Flag_01,8060,p_map_main_germantown
A_Map_Main_GermanTown_Flag_02,8060,p_map_main_germantown
A_Map_Main_Gold_water,2200,p_map_main_gold
A_Map_Main_JapanInterface,2256,p_map_main_japaninterface,p_map_main_japaninterface_login
A_Map_Main_JapanInterface_Millet,0,p_map_main_japaninterface
A_Map_Main_KILL_Skybox_Map_Silklight,2404,p_map_main_kill_skybox
A_Map_Main_Laboratory_Light,3492,p_map_main_laboratory,p_map_main_laboratory_night
A_Map_Main_Ladder,6388,p_map_main_ladder
A_Map_Main_Mountain_Water,2488,p_map_main_mountain
A_Map_Main_Platform,2332,herocultivate_bg_01,p_map_main_platform
A_Map_Main_PoolInterface_Cloud_02,2352,p_map_main_poolinterface
A_Map_Main_PoolInterface_Mountain,2820,p_map_main_poolinterface,p_map_main_poolinterface_login
A_Map_Main_Pool_Toboggan_Water,2200,p_map_main_pool
A_Map_Main_RichMan_Water,2588,p_map_main_richman
A_Map_Main_Ship_Water01,2416,p_map_main_ship
A_Map_Main_Tokyo_dengzhu,0,p_map_main_tokyo
A_Map_Main_TowerBridge_Water,2416,p_map_main_towerbridge
A_Map_Main_demo_ArenaMainInterface,2920,p_map_main_demo_arenamaininterface
A_Map_Main_demo_Audience02,3688,p_map_main_demo_arenamaininterface,p_map_main_fightingarena
A_Map_Main_demo_LED01,3676,p_map_main_fightingarena
A_Map_Main_demo_Ladder_Light,0,p_map_main_ladder
A_Map_Main_demo_Light01,0,p_map_main_fightingarena
A_Map_Main_demo_Light03,2448,p_map_main_fightingarena
A_Map_Main_demo_Light04,3240,p_map_main_fightingarena
A_Map_Main_demo_Stance01,2200,eff_ui_main_demo_stance01_off,eff_ui_main_demo_stance_on,embattleposeffect
A_Map_Show,3188,p_map_main_show
A_Map_Show_01,4740,eff_changjing_chouka,eff_changjing_fashon,eff_changjing_shengxing,p_map_main_grounddoa,p_map_main_show
A_Map_Show_GroundBOSS,2228,p_map_main_conference_boss
A_P_Gold_Transcript_exp_down2,2632,exp_debris
A_P_Gold_Transcript_exp_down2_1,2404,exp_debris
A_P_Gold_Transcript_exp_down3,2632,exp_debris
A_P_Gold_Transcript_exp_down3_1,2404,exp_debris
A_P_Gold_Transcript_exp_down4,2632,exp_debris
A_P_Gold_Transcript_exp_down4_1,2404,exp_debris
A_P_Gold_Transcript_shuiliu,2304,a_p_gold_transcript_shuiliu
A_P_Map_Main_Bar_cam_in_0,0,a_p_map_main_bar_cam_in_0
A_P_Map_Main_Bar_cam_in_1,0,a_p_map_main_bar_cam_in_1
A_P_Map_Main_Show,2436,eff_changjing_fashon
A_S_Map_Main_Show_6,2516,eff_changjing_chouka
A_S_item_exp_1,4576,a_s_item_exp_1
A_Ship,0,p_map_main_landingfield
A_Text_continue,2228,eff_ui_dianji,uiactivityfinishprefab,uiarenaawardpopupprefab,uiarenatheirranksprefab,uibeachlifefailprefab,uibeachlifefinishprefab,uibeachlifesmallgame,uicardphoto,uicardphotoshare,uiclonefinishprefab,uidailyexpfinishprefab,uidailygodnessfinishprefab,uidailygoldfinishprefab,uidailyvirtualfinishprefab,uidrawcardshowheroview,uifinishdwaprefab,uifinishguildbattleprefab,uifinishloseprefab,uifinishprefab,uifinishwinnerprefab,uiguildbossfinishprefab,uiguildtreasurebosswinprefab,uireloadingshowprefab,uiskillpopup2prefab,uislidepopup2prefab_new,uiswimmingfinishprefab,uitrialfinishprefab,uizodiacfinishprefab
A_Tokyo_Water,2200,p_map_main_tokyo
A_UI2048GamePrefab_2048dc,4268,ui2048gameprefab
A_UI2048GamePrefab_jb,2504,ui2048gameprefab
A_UIAlbumModuleView_fudong,2368,uialbummoduleview
A_UIArenaAwardPopupPrefab,3004,uiarenaawardpopupprefab
A_UIArenaBubblePrefab,2532,uiarenaprefab,uisentelikeprefab
A_UIArenaPrefab_frame,2304,uiarenaprefab
A_UIArenaPrefab_juese,2356,uiarenaprefab
A_UIArenaTheirRanksPrefab,12784,uiarenatheirranksprefab
A_UIBattleBuffPrefab_down,2404,uibattlebuffprefab
A_UIBattleBuffPrefab_up,2404,uibattlebuffprefab
A_UIBeachLifeFinishPrefab,4192,uibeachlifefinishprefab
A_UIBeachLifeSmallGame_kp_scale,2436,uibeachlifesmallgame
A_UIBeachLifeSmallGame_text,2220,uibeachlifesmallgame
A_UIBeachLife_btn_sz_2,2436,uibeachlife
A_UIBeachLife_btn_sz_a,2504,uibeachlife
A_UIBeachLife_btn_sz_b,2504,uibeachlife
A_UIBeachLife_text,2436,uibeachlife
A_UIBeachLife_text2,3584,uibeachlife
A_UIBossIntroducePrefab,7928,uibossintroduceprefab
A_UIBossIntroducePrefab_CIRCLE,3040,uibossintroduceprefab
A_UIChampionPunchResult_slsb,2492,uichampionpunchresult
A_UIChampionPunchResult_wmgj,5836,uichampionpunchresult
A_UIChampionPunchResult_wmgj_jl,2512,uichampionpunchresult
A_UIChapterView,2724,uichapterview
A_UIChapterView_cl_btn,2368,uichapterview
A_UIChapterView_name,2312,uichapterview
A_UIChapterView_nanme_2,2264,uichapterview
A_UICombatPrefab_hanhua,3336,uicombatprefab
A_UICombatPrefab_hanhua2,3320,uicombatprefab
A_UICombatPrefab_panel_lj_num,2504,uicombatprefab,uidwacombatprefab
A_UICombatPrefab_text_zsh,2368,uicombatprefab,uidwacombatprefab
A_UICombatPrefab_zanel_zsh2_in,2616,uicombatprefab,uidwacombatprefab
A_UICombatPrefab_zanel_zsh2_out,2444,uicombatprefab,uidwacombatprefab
A_UICombatPrefab_zi,2724,uicombatprefab
A_UIDWAWDSCPrefab_box,2380,eff_uidwawdscprefab_box,eff_uidwawdscprefab_box2,uibeachlife
A_UIDailyTrainingPrefab_hit2,3188,eff_buff_gedang,eff_uidailytrainingprefab_hit2
A_UIDailyTrainingPrefab_suo,2348,eff_uidailytrainingprefab_suo
A_UIDailyTrainingPrefab_suo_open,3440,eff_uidailytrainingprefab_suo
A_UIDesenolCardGoodsPrefab,2528,uidesenolcardgoodsprefab
A_UIDrawCardHeroPrefab,2920,uidrawcardheroprefab
A_UIDrawCardPrefab_in,3656,uiconferencebuyprefab,uidailygoalsview,uidrawcardprefab,uifriendview,uisenteprefab,uiteamflairprefab,uiwustudynew
A_UIDrawCardPrefab_out,2368,uiconferencebuyprefab,uidailygoalsview,uidrawcardprefab,uifriendview,uisenteprefab,uiteamflairprefab,uiwustudynew
A_UIDrawCardShowHeroView_roleinfo,2556,uicardphotoshare,uidrawcardshowheroview
A_UIEquipCultivateChildPrefab_juexing,3576,eff_uiequipcultivatechildprefab_juexing,eff_uiskillpopup2prefab_djts,uialbumbreakthrough,uiequippopup2prefab,uiequippopupprefab,uiherostarlevelpopup2prefab,uiherostarlevelpopup2prefab_new,uiherotopprefab,uiherotopprefab_new,uiskillpopup2prefab
A_UIEquipCultivateChildPrefab_juexing_KONG,2520,eff_uiequipcultivatechildprefab_juexing,eff_uiskillpopup2prefab_djts,uialbumbreakthrough,uiequippopup2prefab,uiequippopupprefab,uiherostarlevelpopup2prefab,uiherostarlevelpopup2prefab_new,uiherotopprefab,uiherotopprefab_new,uiskillpopup2prefab
A_UIEquipPopup2Prefab,4784,uiequippopup2prefab,uiequippopupprefab
A_UIEquipPopup2Prefab_close,3984,uiequippopup2prefab,uiequippopupprefab
A_UIFinishDWAPrefab,2576,uifinishdwaprefab,uifinishguildbattleprefab
A_UIFinishPrefab_xingxing_lose,0,uiactivityfinishprefab,uifinishprefab,uislidepopup2prefab_new,uitrialfinishprefab
A_UIFinishPrefab_zi,2308,uiactivityfinishprefab,uifinishprefab,uislidepopup2prefab_new,uitrialfinishprefab
A_UIFunctionTrailerPrefab,5220,uifunctiontrailerprefab
A_UIFunctionTrailerPrefab_new,5168,uifunctiontrailerprefab_new
A_UIFunctionTrailerPrefab_out,4452,uifunctiontrailerprefab
A_UIGuildBattleLineupPrefab_close,3652,uiguildbattlelineupprefab
A_UIGuildBattleLineupPrefab_open,2960,uiguildbattlelineupprefab
A_UIGuildBattlePrefab_banner,5880,eff_uiguildbattleprefab_banner
A_UIGuildBattlePrefab_duizhan,2652,eff_uiguildbattleprefab_duizhan
A_UIGuildBossMainPrefab,2628,uiguildbossmainprefab
A_UIGuildMapPrefab_xbz,3252,eff_uiguildmapprefab_xbz,uiguildmapprefab
A_UIGuildRedPacketPrefab_hongbao,2588,eff_red_packet_jb,eff_red_packet_ky,eff_red_packet_zs,uiguildredpacketprefab
A_UIGuildTreasureTimePrefab_xunbao,2300,eff_uiguildtreasuretimeprefab_xunbao
A_UIHeroCardPrefabnew,2268,uiherocardprefabnew
A_UIHeroDanPrefab_fudong,2572,uiherodanprefab
A_UIHeroDanPrefab_fudong_suoxiao,2368,uiherodanprefab
A_UIHeroDanPrefab_manji,4068,eff_uiherodanprefab_manji,str_kcz,uiherodanprefab
A_UIHeroDanPrefab_shengji,2944,eff_uiherodanprefab_shengji,uiherodanprefab
A_UIHeroDanPrefab_tupo,4272,eff_uiherodanprefab_tupo,uiherodanprefab
A_UIHeroEquipPrefab_in,4832,uiheroequipprefab,uiheroequipprefabnew
A_UIHeroEquipPrefab_zizhi_ur,3052,eff_ui_chouka_4,eff_uideseno,eff_uiheroequipprefab_zizhi,uidesenolprefab,uiequipview
A_UIHeroLeverUPPrefab_2,2280,uiemailattachmentcellprefab,uiherotipsprefab
A_UIHeroSkillUnlockPopupPrefab_in,4120,uiherogeneunlockpopupprefab,uiheroskillunlockpopupprefab
A_UIHeroSkillUnlockPopupPrefab_out,3588,uiherogeneunlockpopupprefab,uiheroskillunlockpopupprefab
A_UIHeroStarLevelPopup2Prefab_new_in,5660,uiherostarlevelpopup2prefab_new,uiherotopprefab_new
A_UIHeroStarLevelPopup2Prefab_new_out,4704,uiherostarlevelpopup2prefab_new,uiherotopprefab_new
A_UIHeroStarUpPrefab,7236,uiherostarupprefab
A_UIHeroStarUpPrefab_genepanel,3044,uiherostarupprefab
A_UIHeroStarUpPrefab_starlevel,3288,uiherostarupprefab
A_UIHeroZodiacBackpackCellPrefab,2368,uiherozodiacbackpackcellprefab
A_UIHeroZodiacStarPrefab,10068,uiherozodiacstarprefab
A_UIHeroZodiacStarPrefab_2,5768,uiherozodiacbackpackprefab
A_UIHeroZodiacStarPrefab_image_icon_xz,2368,uiherozodiacbackpackprefab
A_UIHeroZodiacStarPrefab_image_icon_zb,2368,uiherozodiacbackpackprefab
A_UIHeroZodiacStarPrefab_xunhuan,5924,uiherozodiacstarprefab
A_UIHeroZodiac_tanchuang,2368,uiherozodiacbackpackprefab
A_UIKnapsackPrefab,2444,uiherozodiacbackpackprefab,uiknapsackprefab
A_UILetterchallengecomplete_liuguang,4364,uiletterchallengecomplete
A_UILetterchallengetitle,2936,uiletterchallengetitle
A_UILoading6Prefab,10532,uiloading6prefab
A_UILoading6Prefab_close,8484,uiloading6prefab
A_UILoading6Prefab_guang,2228,uiloading6prefab
A_UILoading6Prefab_guang2,2228,uiloading6prefab
A_UILoading6Prefab_saoguang,2464,uiloading6prefab
A_UILoading_ssgd5,2624,uiloginprefab1
A_UILoading_ssgd5_over,2716,uiloginprefab1
A_UILoading_ssgd5_xunhuan,2716,uiloginprefab1
A_UILoginPrefab1_guang,5440,uiloginprefab1
A_UIMainPrefab,3324,uimainprefab
A_UIMainPrefab_1,2316,uimainprefab
A_UIMainPrefab_hongye,2596,uimainprefab
A_UIMainPrefab_panel_btn_upperleft,3036,uimainprefab
A_UISenteLikePrefab_anniu,2220,eff_uisentelikeprefab_anniu,uisentelikeprefab
A_UISenteLikePrefab_in,3180,uisentelikeprefab
A_UISenteLikePrefab_jyt,2220,eff_uisentelikeprefab_jyt,uisentelikeprefab
A_UISenteLikePrefab_sydj,2660,eff_uisentelikeprefab_sydj
A_UISentePopup2Prefab,4488,uisentepopup2prefab
A_UISetName_new,2588,uisetnameprefab1
A_UISkillPopup2Prefab_in,3716,uialbumbreakthrough,uiskillpopup2prefab
A_UISkillPopup2Prefab_out,3628,uialbumbreakthrough,uiskillpopup2prefab
A_UISlidePopUp2Prefab,3064,uislidepopup2prefab_new
A_UIStarStoneCardEnter,2852,uistarstonecardenter
A_UIStarStoneEmail,3124,uistarstoneemail
A_UITournamentChooseFighterPrefab,2280,uitournamentchoosefighterprefab
A_UITournamentChooseFighterPrefab_tiaozi,2368,uitournamentchoosefighterprefab
A_UITournamentFighterAgainstPrefab,8752,uitournamentfighteragainstprefab
A_UITournamentFinishPrefab,2944,uitournamentfinishprefab
A_UITournamentMain_zi,2712,uitournamentmain
A_UITournamentMatch,3284,uitournamentmatch
A_UITournamentMatch_dian,2484,uitournamentmatch
A_UITournamentMatch_xianshou,2368,uitournamentmain,uitournamentmatch,uiworldbossprefab
A_UITournamentMatch_xuanzhuang,2300,uitournamentchoosefighterprefab,uitournamentfighteragainstprefab,uitournamentmatch
A_UITournamentMyselfPrefab,2736,uitournamentmyselfprefab
A_UITournamentPopUp3Prefab_dwjd,3280,uitournamentpopup3prefab
A_UITournamentPopUp3Prefab_dwts,4116,uitournamentpopup3prefab
A_UITournamentPopUp3Prefab_jx,2468,uitournamentpopup3prefab
A_UITournamentPopUp3Prefab_sx,3304,uitournamentpopup3prefab
A_UITournamentPopUp4Prefab,5520,uitournamentpopup4prefab
A_UITournamentWatchAMatchPrefab,2504,uitournamentwatchamatchprefab
A_UITournamentWatchAMatchPrefab_panel_s,2280,uitournamentwatchamatchprefab
A_UITrialPrefab_in,2712,uitrialprefab
A_UIUpGradePrefab_in,3212,uiupgradeprefab
A_UIUpGradePrefab_out,2984,uiupgradeprefab
A_UIVIPPrefab_czcg,5356,eff_uivipprefab_czcg,uichargesuccessprefab
A_UIVIPPrefab_libao,2780,uioaguildbuyprefab,uivipprefab
A_UIWorldBossPrefab_kbld,13448,eff_worldboss_kbld
A_UIWorldBossPrefab_ld,2544,eff_worldboss_ld
A_UIWorldBossPrefab_text,2328,uiworldbossprefab
A_UIWorldBossPrefab_zi,2484,uiworldbossprefab
A_UIWuStudynew_lock_jiesuo,4576,uiwustudynew
A_UIWuStudynew_lock_jiesuo02,2328,uiwustudynew
A_UIZdSubMenuViewPrefab_glow,3088,uizdsubmenuviewprefab
A_UIZdSubMenuViewPrefab_idle,4292,uizdsubmenuviewprefab
A_UIZdSubMenuViewPrefab_in,9148,uizdsubmenuviewprefab
A_UIZdSubMenuViewPrefab_model,2972,uiacquiregoodsprefab,uiacquiretitleprefab,uirollrandomprefab,uitrialgoodsprefab,uizdsubmenuviewprefab
A_UIZdSubMenuViewPrefab_out,8480,uizdsubmenuviewprefab
A_UIZdSubMenuViewPrefab_panel_guang,3344,uizdsubmenuviewprefab
A_UIZodiacMain_chat,2504,uizodiacmain
A_UI_zhangjie_hide,2148,uichapterview,uilevelopenprefab_close
A_UIfetterPrefab,3296,uifateactivateview
A_UItreasurereward_tg01,2192,eff_ui_uitreasurereward_tg01
A_WordlMAP_Gridline_01,0,p_wordlmap_gridline_1
A_alpha_152_minskill,2660,eff_alpha_152_minskill
A_alpha_152_minskill_2,3284,eff_alpha_152_minskill
A_alpha_152_minskill_3,3116,eff_alpha_152_minskill
A_alpha_152_pose,3260,eff_alpha_152_pose
A_alpha_152_pose_2,3300,eff_alpha_152_pose
A_alpha_152_uniqueskills,3288,eff_alpha_152_uniqueskills
A_alpha_152_uniqueskills2_chongji,3448,eff_alpha_152_uniqueskills
A_alpha_152_uniqueskills_2,4744,eff_alpha_152_uniqueskills
A_alpha_152_uniqueskills_3,2704,eff_alpha_152_uniqueskills
A_ayane_minskill,11940,eff_ayane_minskill
A_ayane_pose,5144,eff_ayane_pose
A_ayane_uniqueskills1,6416,eff_ayane_uniqueskills01
A_ayane_uniqueskills2,7396,eff_ayane_uniqueskills02
A_ayane_uniqueskills3,7328,eff_ayane_uniqueskills03
A_bass_minskill,4612,eff_bass_minskill
A_bass_pose,5640,eff_bass_pose
A_bass_uniqueskill,3200,eff_bass_uniqueskills
A_battle_evaluation_hit,3072,eff_battle_evaluation,eff_qte_evaluation,uicombatprefab,uidwacombatprefab
A_body_shengxing,3652,eff_body_shengxing
A_buff_fengying,2508,eff_ui_buff_chenmo,eff_ui_buff_fengying,uibattlehreoprefab
A_buff_gedang,2228,eff_buff_gedang
A_buff_xixue,2664,eff_buff_xixue
A_center_animation,2368,uiguidedemonstrationprefab,uiguideprefab
A_changjing_shengxing,2520,eff_changjing_shengxing
A_christie_minskill,13220,eff_christie_minskill,eff_christie_uniqueskills
A_cmbo_daoguang2,3768,eff_cmbo_daoguang2
A_cmbo_daoguang2_1,4076,eff_cmbo_daoguang2_1
A_cmbo_daoguang_banlaqiu,2200,eff_cmbo_daoguang2
A_cmbo_daoguang_beijing2,2192,eff_cmbo_daoguang2
A_confirm_uniqueskills,2808,uibattlehreoprefab
A_dwa_UIDWAPrefab_quan,3752,eff_dwa_uidwaprefab_quan
A_dwa_UIDWAZSC3Prefab_guanjun,2516,eff_dwa_uidwazsc3prefab_guanjun,eff_dwa_uidwazsc3prefab_guanjun2
A_eff_10dagege,2448,eff_main_map
A_eff_Arena_score,2300,eff_arena_score,p_map_main_arena
A_eff_I_ayanehands_01,3036,eff_ayanehands_pose
A_eff_Image_dw_1,4956,eff_image_dw_7
A_eff_Image_dw_1_chibang,4068,eff_image_dw_7
A_eff_Image_dw_2,3912,eff_image_dw_6
A_eff_Image_dw_3,3600,eff_image_dw_5
A_eff_Image_dw_4,3180,eff_image_dw_4
A_eff_Image_dw_5,3180,eff_image_dw_3
A_eff_Image_dw_6,3180,eff_image_dw_2
A_eff_Image_dw_7,3180,eff_image_dw_1
A_eff_Image_dw_8,2980,eff_image_dw_0
A_eff_Image_red_packet_open,5356,eff_red_packet_jb,eff_red_packet_ky,eff_red_packet_zs
A_eff_P_Map_Main_Bar,2612,p_map_main_bar
A_eff_Panel_blue,2192,uitournamentchoosefighterprefab
A_eff_Panel_single_duizhan_image,5720,uitournamentwatchamatchprefab
A_eff_UIAlbumBreakthrough_tpcg,3268,uialbumbreakthrough
A_eff_UIBeachLifeSmallGame_321,6768,eff_uibeachlifesmallgame_321,uibeachlifesmallgame
A_eff_UIBeachLifeSmallGame_kp,2372,eff_uibeachlifesmallgame_kp
A_eff_UICardPhoto_baoguang01,2316,eff_uicardphoto_baoguang_n
A_eff_UICardPhoto_baoguang_SR,2316,eff_uicardphoto_baoguang_sr
A_eff_UIEveryDaycard_sjsl,2192,eff_uieverydaycard_sjsl
A_eff_UIHeroZodiacDecomposePrefab_xinyun,3992,eff_uiherozodiacdecomposeprefab_xinyun,uiherozodiacbackpackprefab,uiherozodiacdecomposeprefab
A_eff_UIHeroZodiacDecomposePrefab_xinyun_idle,2172,eff_uiherozodiacdecomposeprefab_xinyun,uiherozodiacbackpackprefab,uiherozodiacdecomposeprefab
A_eff_UIHeroZodiacStarPrefab_zi,2536,uiherozodiacbackpackprefab
A_eff_UIHeroZodiacStronger_fsx,2616,uiherozodiacstrongerprefab
A_eff_UIHeroZodiacStronger_shengji,2968,uiherozodiacstrongerprefab
A_eff_UILevelPrefab_1,2228,eff_uilevelprefab_1,eff_uilevelprefab_1_1
A_eff_UILevelPrefab_6,2632,eff_uilevelprefab_6
A_eff_UILevelPrefab_7,2636,eff_uilevelprefab_7
A_eff_UILevelPrefab_9,3384,eff_uilevelprefab_9
A_eff_UIOAArrowView_bj2,6156,eff_uioaarrowview_bj2,uioaarrowview
A_eff_UIOAArrowView_two,2524,eff_uioaarrowview_three,eff_uioaarrowview_two
A_eff_UIOASevenDaysFestivalViewPrefab_tu,3388,uioasevendaysfestivalviewprefab
A_eff_UIStarStoneCardPrefab_xingshi_idle,2200,eff_uistarstonecardprefab_xingshi
A_eff_UIStarStoneCardPrefab_xingshi_jinru,2368,eff_uistarstonecardprefab_xingshi
A_eff_UIStarStoneCardPrefab_xingshi_over,2416,eff_uistarstonecardprefab_xingshi
A_eff_UIStarStoneCardPrefab_xingshi_play,4684,eff_uistarstonecardprefab_xingshi
A_eff_UIStarStoneTask,2392,uistarstonetask
A_eff_UIStarStoneTaskEnterItemHelp_shuaxing,2220,eff_uistarstonetaskenteritemhelp_shuaxing,uistarstonetaskenteritem
A_eff_UIStarStoneTaskEnterItemHelp_time,2344,eff_uistarstonetaskenteritemhelp_time
A_eff_UITournamentMyselfPrefab_duanwei,2316,eff_uitournamentmyselfprefab_duanwei
A_eff_buff_huixue,2560,eff_buff_huixue
A_eff_buff_leader_fangyu,8964,eff_buff_leader_fangyu,eff_buff_leader_gongji
A_eff_christie_uniqueskills,21424,eff_christie_uniqueskills
A_eff_click,4776,eff_click_effect
A_eff_congratulations_background_red,2608,uiacquiregoodsprefab,uiacquiretitleprefab,uirollrandomprefab,uitrialgoodsprefab
A_eff_dagege02,2544,eff_main_map
A_eff_dianji_02_dianji,2440,uigoldprefab
