资源名称,内存大小,内建资源,资源类型,被引用的个数,对应的AB包名称
Object09,11036,False,mesh,2,s_main_map_dailyhigher_pata_prize,trialprize
Object102,27804,False,mesh,1,p_map_main_bar
Object215,12712,False,mesh,1,p_map_main_bar
P_Main_Map_DailyHigher_pata02_DOOR02,10364,False,mesh,1,p_main_map_dailyhigher_pata02
Pedestal,151607,False,mesh,1,p_main_map_dailyhigher_pata_pedestal
Plane001,4332,False,mesh,1,eff_ryuhayabusa_uniqueskills
Plane001,3708,False,mesh,1,eff_ui_winnerhead_shengji_01
Plane001,7508,False,mesh,1,uifunctiontrailerprefab_new
Plane001,10760,False,mesh,6,eff_shuye_01,eff_shuye_02,eff_shuye_03,eff_shuye_04,eff_shuye_05,eff_shuye_06
Plane001,16572,False,mesh,3,eff_hayate_minskill,eff_hayateb_doubleuniqueskills,eff_hayateb_minskill
Plane001,7260,False,mesh,7,eff_buff_huixue,eff_genfu_uniqueskills,eff_helenab_01_uniqueskills,eff_hitomi_uniqueskills03,eff_nyotengu_minskill,eff_nyotengu_pose,eff_nyotengu_uniqueskills
Plane001,14460,False,mesh,5,eff_cmbo_daoguang2,eff_uiherodanprefab_manji,eff_uiherodanprefab_shengji,str_kcz,uiherodanprefab
Plane001,4332,False,mesh,4,eff_ui_skill_beijing,uigoldprefab,uilevelopenprefab,uiupgradeprefab
Plane001,4332,False,mesh,1,eff_cmbo_daoguang2_1
Plane001,2684,False,mesh,2,eff_leifang_minskill,eff_leifang_minskill_dlc01
Plane001,9980,False,mesh,2,eff_hayate_pose,eff_hitomi_minskill
Plane001,1956,False,mesh,22,eff_janlee_minskill,eff_janlee_pose,eff_janlee_uniqueskills,eff_map_main_logo,eff_momiji_uniqueskills_dlc_01,eff_ui_buff_hujia,eff_ui_uniqueskills,eff_ui_uniqueskills_1,eff_ui_uniqueskills_2,eff_ui_uniqueskills_3,eff_ui_uniqueskills_4,eff_uiguildmapprefab_xbwc,eff_uistarstonecardprefab_xingshi,eff_zhandou_guochang,eff_zhandou_guochang2,eff_zhandou_guochang_3,uicombatprefab,uidwacombatprefab,uiequipview,uiguildmapprefab,uiguildresearchprefab,uiloginprefab1
Plane001,3612,False,mesh,2,eff_marierose_minskill_dlc01,eff_marierose_minskill_dlc02
Plane001,4532,False,mesh,6,uiacquiregoodsprefab,uiacquiretitleprefab,uiloading6prefab,uirollrandomprefab,uitrialgoodsprefab,uizdsubmenuviewprefab
Plane001,4332,False,mesh,2,eff_ui_uiwustudynew_juese_ten_cn,eff_uiwustudy_beijing
Plane001,4332,False,mesh,1,uilevelopenprefab
Plane001,5764,False,mesh,3,eff_ui_jjc_ty_beijing,eff_ui_skill_beijing,uitrialawardprefab
Plane001,5764,False,mesh,7,eff_genfu_uniqueskills,eff_hayate_uniqueskills,eff_helena_minskill,eff_hitomi_uniqueskills03,eff_nyotengu_hit,eff_nyotengu_minskill,eff_nyotengu_pose
Plane001,4332,False,mesh,2,eff_drawcard_nr,eff_drawcard_sr
Plane001,4812,False,mesh,15,eff_guildbattle_prompt01,eff_guildbattle_prompt02,eff_guildbattle_prompt03,eff_map_main_camera,eff_map_main_logo,eff_ui_uiloading1prefab_2,eff_ui_uniqueskills,eff_zhandou_guochang,eff_zhandou_guochang2,eff_zhandou_guochang_3,uicombatprefab,uidwacombatprefab,uiloading,uiloading1prefab,uiloading7prefab
Plane001,4532,False,mesh,1,uiloading6prefab
Plane001,1956,False,mesh,1,uioafirstrechargeprefab
Plane001,6200,False,mesh,1,eff_main_map
Plane001,9420,False,mesh,4,eff_genfu_uniqueskills,eff_nyotengu_minskill,eff_nyotengu_pose,eff_nyotengu_uniqueskills
Plane001,137503,False,mesh,1,p_map_main_kill_skybox
Plane001,4532,False,mesh,13,eff_hayateb_doubleuniqueskills,eff_hayateb_hit,eff_hayateb_uniqueskills,eff_momiji_pose,eff_momiji_pose_dlc_01,eff_momiji_uniqueskills,eff_momiji_uniqueskills_dlc_01,eff_uiequipcultivatechildprefab_juexing,eff_uiskillpopup2prefab_djts,uialbumbreakthrough,uiherostarlevelpopup2prefab,uiherotopprefab,uiskillpopup2prefab
Plane001,5196,False,mesh,2,eff_ui_uiwustudynew_juese_one_cn,eff_ui_uiwustudynew_juese_ten_cn
Plane001,5764,False,mesh,7,eff_bass_uniqueskills,eff_hayate_uniqueskills,eff_hayateb_doubleuniqueskills,eff_hayateb_minskill,eff_hayateb_uniqueskills,eff_momiji_uniqueskills_dlc_01,eff_ui_skill_beijing
Plane001,5236,False,mesh,8,eff_bass_pose,eff_bass_uniqueskills,eff_bayman_pose,eff_bradwong_pose,eff_helena_uniqueskills,eff_helena_uniqueskills_dlc_02,eff_helenab_01_uniqueskills,eff_tina_uniqueskills
Plane001,9980,False,mesh,9,eff_ein_minskill,eff_ein_uniqueskills,eff_elliot_minskill,eff_elliot_uniqueskills,eff_hayate_uniqueskills,eff_hitomi_minskill,eff_leifang_minskill,eff_leifang_minskill_dlc01,eff_nyotengu_minskill
Plane001,1956,False,mesh,13,eff_buff_chenmo,eff_buff_fengying,eff_cmbo_daoguang2,eff_cmbo_daoguang2_1,eff_ryuhayabusa_pose,eff_ui_bollroot_shengji1,eff_ui_bollroot_shengji_tuowei,eff_ui_buff_chenmo,eff_ui_buff_fengying,eff_uiherodanprefab_tupo,uibattlehreoprefab,uiequipview,uiherodanprefab
Plane001,26863,False,mesh,1,eff_rachel_minskill
Plane001,9084,False,mesh,9,eff_map_main_logo,eff_ui_uniqueskills,eff_zhandou_guochang,eff_zhandou_guochang2,eff_zhandou_guochang_3,uicombatprefab,uidwacombatprefab,uiletterchallengecomplete,uilevelopenprefab
Plane001,8292,False,mesh,1,eff_map_main_logo
Plane001,9252,False,mesh,1,eff_dwa_uidwaapplyprefab_wangge
Plane001,4332,False,mesh,1,uifunctiontrailerprefab_new
Plane001,4532,False,mesh,6,eff_ui_bollroot_zdl,eff_ui_uiherocultivateprefab_shuzi_01,eff_ui_uiherocultivateprefab_shuzi_02,eff_ui_uiherocultivateprefab_shuzi_03,p_map_main_dwa,uiarenatheirranksprefab
Plane001,3380,False,mesh,1,eff_combo
Plane001,12660,False,mesh,1,eff_momiji_uniqueskills
Plane001,5764,False,mesh,2,eff_map_main,eff_ui_skill_beijing
Plane001,8348,False,mesh,57,eff_mask_zhezha,eff_ui_ty_beibao,eff_ui_ty_gezixuanzhong,eff_ui_uiarena_beijing_01,eff_ui_uiarena_beijing_02,eff_ui_uiarena_beijing_03,eff_ui_uiarena_beijing_04,eff_ui_uiarena_beijing_05,eff_uiequipcultivatechildprefab_juexing,eff_uilevelprefab_9,uiacquiregoodsprefab,uiacquiretitleprefab,uialbumbreakthrough,uialbummodulehero,uiarenaawardprefab,uiarenabattlelogprefab,uiarenaintegralprefab,uiarenarankingchildprefab,uichapterview,uicommondialog,uiequipbuymaterialdialog,uiequipview,uigoodsprefab,uiguildlistprefab,uiguildlotteryranklist,uiguildresearchprefab,uiletterchallengecomplete,uilevelptmopupprefab,uioacandiesexchangecellprefab,uioacandiespopupprefab,uioacandiessendcellprefab,uioacoinexchangecellprefab,uioacoinsendcellprefab,uioadiscountviewprefab,uioafireworksexchangecellprefab,uioafireworkssendcellprefab,uioagoodexchangecellprefab,uioagrowupcellprefab,uioalimiteddiscount,uioarechargecellprefab,uioazongziexchangecellprefab,uioazongzisendcellprefab,uiresourcejumpprefab,uiruleprefab,uisignprefab,uiskillprefab,uitexturequalitychangeprefab,uitournamentawardviewprefab,uitrialawardprefab,uitrialgoodsprefab,uitrialheroframeprefab,uitrialpopup2prefab,uitrialpopupprefab,uitrialrankingchildprefab,uitrialselectdifficultyprefab,uivipprefab,uivitprefab
Plane002,3148,False,mesh,2,eff_hayateb_doubleuniqueskills,eff_hayateb_run
Plane002,5004,False,mesh,5,eff_hayateb_minskill,eff_honoka_uniqueskills,eff_honoka_uniqueskills_dlc01,eff_nyotengu_minskill,eff_nyotengu_uniqueskills
Plane002,5004,False,mesh,8,eff_hayateb_uniqueskills,eff_honoka_uniqueskills,eff_honoka_uniqueskills_dlc01,eff_momiji_pose,eff_momiji_pose_dlc_01,eff_nyotengu_minskill,eff_nyotengu_pose,eff_nyotengu_uniqueskills
Plane002,2364,False,mesh,1,eff_ryuhayabusa_uniqueskills
Plane002,3356,False,mesh,6,eff_buff_leader_fangyu,eff_buff_leader_gongji,eff_leifang_uniqueskills,eff_leifang_uniqueskills_dlc01,eff_ty_huixue,eff_ui_zhangjie_clearance_02
Plane002,11228,False,mesh,1,eff_ryuhayabusa_pose
Plane002,4332,False,mesh,3,eff_ui_uiwustudynew_juese_one_cn,eff_ui_uiwustudynew_juese_ten_cn,eff_uiwustudy_beijing
Plane002,16572,False,mesh,2,eff_hayate_minskill,uifunctiontrailerprefab_new
Plane002,7116,False,mesh,25,eff_alpha_152_uniqueskills,eff_ayane_minskill,eff_ayane_pose,eff_ayane_uniqueskills01,eff_ayane_uniqueskills02,eff_ayane_uniqueskills03,eff_christie_minskill,eff_christie_uniqueskills,eff_genfu_minskill,eff_genfu_uniqueskills,eff_hayateb_doubleuniqueskills,eff_hayateb_minskill,eff_hayateb_uniqueskills,eff_helena_pose,eff_helena_pose_dlc_02,eff_helenab_01_minskill,eff_helenab_01_pose,eff_helenab_01_uniqueskills,eff_hitomi_minskill,eff_hitomi_uniqueskills02,eff_map_main_juese_xiaoshi,eff_mariposab_01_pose,eff_momiji_uniqueskills_dlc_01,eff_nyotengu_uniqueskills,eff_phase4_minskill
Plane002,4332,False,mesh,1,eff_main_map
Plane002,5004,False,mesh,1,eff_nyotengu_minskill
Plane002,1956,False,mesh,2,eff_kasumib_minskill 1,eff_uiguildtreasuretimeprefab_xunbao
Plane002,12972,False,mesh,1,eff_buff_xixue
Plane003,6900,False,mesh,15,eff_christie_minskill,eff_christie_uniqueskills,eff_hayateb_doubleuniqueskills,eff_hayateb_minskill,eff_hitomi_uniqueskills02,eff_momiji_hit2,eff_momiji_minskill,eff_momiji_minskill_dlc_01,eff_momiji_pose,eff_nyotengu_minskill,eff_nyotengu_uniqueskills,eff_rachel_minskill,eff_tina_minskill,eff_tina_pose,eff_tina_uniqueskills
Plane003,3468,False,mesh,2,eff_hayateb_doubleuniqueskills,eff_hayateb_uniqueskills
Plane003,3468,False,mesh,1,eff_hayateb_uniqueskills
Plane004,16572,False,mesh,1,eff_hayate_minskill
Plane004,8844,False,mesh,2,eff_genfu_minskill,uifunctiontrailerprefab_new
Plane004,3844,False,mesh,1,uilevelopenprefab
Plane005,13284,False,mesh,9,eff_genfu_uniqueskills,eff_hayateb_doubleuniqueskills,eff_hayateb_minskill,eff_hayateb_uniqueskills,eff_helenab_01_uniqueskills,eff_hitomi_uniqueskills02,eff_hitomi_uniqueskills03,eff_momiji_uniqueskills_dlc_01,uifunctiontrailerprefab_new
Plane005,12492,False,mesh,6,eff_christie_minskill,eff_christie_uniqueskills,eff_momiji_minskill,eff_momiji_minskill_dlc_01,eff_nyotengu_uniqueskills,eff_tina_minskill
Plane005_LX,16812,False,mesh,1,eff_ein_uniqueskills
Plane006,11052,False,mesh,1,eff_hayate_minskill
Plane006_lx,16812,False,mesh,1,eff_ein_uniqueskills
Plane007,11244,False,mesh,9,eff_ayane_minskill,eff_ayane_pose,eff_christie_minskill,eff_christie_uniqueskills,eff_helena_uniqueskills,eff_helena_uniqueskills_dlc_02,eff_nyotengu_minskill,eff_nyotengu_pose,eff_rachel_pose
Plane007,11052,False,mesh,1,eff_hayate_minskill
Plane007_lX,16812,False,mesh,1,eff_ein_uniqueskills
Plane008_LX,16812,False,mesh,1,eff_ein_uniqueskills
Plane009,19140,False,mesh,1,eff_leifang_uniqueskills
Plane01,4892,False,mesh,2,p_map_main_cabin,p_map_main_cliff
Plane01,1956,False,mesh,1,s_gold
Plane01,8076,False,mesh,1,p_map_main_chaptertwo_temple
Plane01,3036,False,mesh,2,eff_kasumib_pose,eff_kasumib_uniqueskills
Plane01,1956,False,mesh,1,p_map_main_pool
Plane010,19140,False,mesh,1,eff_leifang_uniqueskills
Plane011,19140,False,mesh,1,eff_leifang_uniqueskills
Plane013,19140,False,mesh,1,eff_leifang_uniqueskills
Plane014,19140,False,mesh,1,eff_leifang_uniqueskills
Plane015,19140,False,mesh,1,eff_leifang_uniqueskills
Plane04,2364,False,mesh,2,eff_kasumib_minskill,eff_kasumib_uniqueskills
Plane11,7116,False,mesh,1,eff_kasumib_pose
Plants01,1008720,False,mesh,1,p_map_main_ninjia
Plants02,441719,False,mesh,1,p_map_main_ninjia
Plants03,191712,False,mesh,1,p_map_main_ninjia
Plants04,168732,False,mesh,1,p_map_main_ninjia
Plants05,64704,False,mesh,1,p_map_main_ninjia
Plants06,325836,False,mesh,1,p_map_main_ninjia
Porps,1669492,False,mesh,1,p_map_main_chinatown
Props,5956307,False,mesh,1,p_map_main_mountaintemple
Props,3956708,False,mesh,1,p_map_main_ninjia
Props,4864292,False,mesh,1,p_map_main_bar
Props01,2868872,False,mesh,1,p_map_main_castle
Props01_01,1026744,False,mesh,1,p_map_main_cliff
Props01_02,452148,False,mesh,1,p_map_main_cliff
Props02,601416,False,mesh,1,p_map_main_cliff
Props02,1415860,False,mesh,1,p_map_main_castle
Props_far,762184,False,mesh,1,p_map_main_towerbridge
Rainbow,11052,False,mesh,1,p_map_main_cliff
Red,6108,False,mesh,2,p_map_main_pool_red,p_map_main_pool_spacing_1
Red01,6564,False,mesh,1,p_map_main_coastalvillage
Red02,6564,False,mesh,1,p_map_main_coastalvillage
Red_Max,6108,False,mesh,1,p_map_main_pool_red_max
River,66816,False,mesh,1,p_map_main_cliff
Road01,2316,False,mesh,1,p_map_main_russia_maininterface
Road02,3084,False,mesh,1,p_map_main_russia_maininterface
Rock,26824,False,mesh,1,p_map_main_ninjia
Rock01,308291,False,mesh,1,p_map_main_cliff
Rock01,39367,False,mesh,1,p_map_main_castle
Rock02,792204,False,mesh,1,p_map_main_cliff
Roof,46056,False,mesh,1,p_map_main_ninjia
Roof,1818156,False,mesh,1,p_map_main_russia_maininterface
Roof01,94548,False,mesh,1,p_map_main_castle
S_Dice,207263,False,mesh,1,p_map_main_dice
S_Dice,262779,False,mesh,1,i_dice
S_Exp_Utensil,288760,False,mesh,2,m_machine_01,p_gold_transcript_01
S_Exp_water,35715,False,mesh,2,m_machine_01,p_gold_transcript_01
S_Gold,12876,False,mesh,5,eff_ui_gold,gold_debris,s_gold,uicombatprefab,uidwacombatprefab
S_MaM_Map_Main_ClockTower1F_Glass,10852,False,mesh,1,p_map_main_clocktower1f
S_MaM_Map_Main_ClockTower2F_wall,122084,False,mesh,1,p_map_main_clocktower1f
S_Main_Map_DailyHigher_pata_Door01,957448,False,mesh,1,p_main_map_dailyhigher_pata01
S_Main_Map_DailyHigher_pata_Ground01,345252,False,mesh,1,p_main_map_dailyhigher_pata01
S_Main_Map_DailyHigher_pata_Ground03,290999,False,mesh,1,p_main_map_dailyhigher_pata01
S_Main_Map_DailyHigher_pata_Prize01,274823,False,mesh,2,s_main_map_dailyhigher_pata_prize,trialprize
S_Main_Map_DailyHigher_pata_Prize_Light,3436,False,mesh,1,p_main_map_dailyhigher_pata01
S_Main_Map_DailyHigher_pata_Prize_Light,8588,False,mesh,2,s_main_map_dailyhigher_pata_prize,trialprize
