资源名称,宽度 Width,高度 Height,格式 Format,MipMap功能,Read/Write,内存占用,冗余数量,相应的AB文件
Font Texture,0,0,Alpha8,False,False,0,292,eff_uivipprefab_czcg,old_uiequipprefabnew,shophappybuyitemdetailview,ui2048gameprefab,ui2048gamerankingprefab,uiachievementitemawardprefab,uiachievementitemcell,uiachievementview,uiacquiregoodsprefab,uialbumbreakthrough,uiarenabattlelog,uiarenaintegralprefab,uiarenapopup1prefab,uiarenapopup2prefab,uiarenapopup4prefab,uiarenapopup5prefab,uiarenaprefab,uiarenarankingchildprefab,uiarenarankingprefab,uiarenarankitem,uiarenatheirranksprefab,uichampionpunch,uichampionpunchranking,uichangetextpanel,uichapterbox,uichapterbox_nightmare,uichapterview,uichargesuccessprefab,uichatcellprivateprefab,uichatcellsystemprefab,uichatcellwgtotherprefab,uichatcellwgtselfprefab,uichatplayerdetailview,uichatprivateviewcellotherprefab,uichatprivateviewcellselfprefab,uiclonefinishprefab,uiclonefriendprefab,uicloneheroitemprefab,uicombatprefab,uicommondialognocloseprefab,uidailyexpfinishprefab,uidailygodnessfinishprefab,uidailygoldfinishprefab,uidailymainitem,uidailytraininglistprefab,uidailytrainingpopup1prefab,uidailytrainingprefab,uidailyvirtualfinishprefab,uidesenolcardgoodsprefab,uidesenolprefab,uidrawcardprefab,uidwacombatprefab,uidwaembattleprefab,uidwalineupprefab,uidwaprefab,uidwaruleprefab,uidwawdscprefab,uidwazsc2,uidwazsc3prefab,uiemailattachmentcellprefab,uiemailcellprefab,uiemailview,uiequipawaken,uiequipbuymaterialdialog,uiequipmentcardexchangeprefab,uiequipmentdevelopmentprefab,uiequippopup2prefab,uiequippopupprefab,uiequipsuit,uiequipupgrade,uifinishloseprefab,uifinishwinnerprefab,uifrienddetailview,uifriendtheirranksprefab,uifriendview,uigenetipsprefab,uigoldprefab,uigoodsprefab,uigoodstipsprefab,uiguildawardprefab,uiguildbattleawardprefab,uiguildbattlecheckprefab,uiguildbattlelineupitemprefab,uiguildbattleprefab,uiguildbattlereportprefab,uiguildbattleruleprefab,uiguildboss2prefab,uiguildbossfinishprefab,uiguildbossitemprefab,uiguildbossmainprefab,uiguildbosspopupprefab,uiguildbossranklist1prefab,uiguildbossranklist2prefab,uiguildbossruleprefab,uiguildcdrgiftsprefab,uiguildchangenamepop,uiguildcollectprefab,uiguildexchangeaskforcellprefab,uiguildexchangegetview,uiguildintrantinfopanel,uiguildlistnameprefab,uiguildlistprefab,uiguildlottery,uiguildlpopupprefab,uiguildmembercreatenameprefab,uiguildmemberdetails,uiguildranklistprefab,uiguildrecruitpanel,uiguildredpacketprefab,uiguildredpacketranking1prefab,uiguildredpacketranking2prefab,uiguildredpacketselectprefab,uiguildresearchprefab,uiguildtreasurebossnewprefab,uiguildtreasurebosswinprefab,uiguildtreasuretimenewprefab,uiherocardattributeprefab,uiherocarddetailsprefab,uiherocultivateprefab,uiherocultivatestrprefab,uiherodanprefab,uiheroequippopupprefab,uiheroequipprefab,uiherogenepopup1prefab,uiherogenepopup2prefab,uiherogeneprefab,uiherogradepopupprefab,uiherogradeprefab,uiheroleverupprefab,uiherostarlevelpopup1prefab,uiherostarlevelpopup2prefab,uiherostarlevelpopup2prefab_new,uiherostarlevelprefab,uiherostarupprefab,uiherotipsprefab,uiherotopprefab,uiherotopprefab_new,uiherozodiacbackpackcellprefab,uiherozodiacbackpackdetailprefab,uiherozodiacbackpackequippedprefab,uiherozodiacbackpackprefab,uiherozodiacdecomposeprefab,uiherozodiacdetailprefab,uiherozodiacpropertyexplainprefab,uiherozodiacresonanceprefab,uiherozodiacstarprefab,uiherozodiacstrongerprefab,uihonokoquestionprefab,uiknapsackcompound,uiknapsackprefab,uilevelempopupprefab,uileveljypopup2prefab,uileveljypopupprefab,uileveljyprefab_1,uilevelptawardprefab,uilevelptmopupgoodsprefab,uilevelptpopupprefab,uimainprefab,uioaaddupcellprefab,uioaarenacellprefab,uioaarrowbuyview,uioaarrowcellprefab,uioaarrowrankcell,uioaarrowrankview,uioaarrowsendview,uioaarrowview,uioacandiesboxcellprefab,uioacandiesboxviewprefab,uioacandiesexchangecellprefab,uioacandiespopupprefab,uioacandiessendcellprefab,uioacoinboxcellprefab,uioacoinboxviewprefab,uioacoinexchangecellprefab,uioacoinsendcellprefab,uioadiscountcellprefab,uioadiscountweekcellprefab,uioadrawcardrankitem,uioafestivallogincellprefab,uioafireworksboxcellprefab,uioafireworksboxviewprefab,uioafireworksexchangecellprefab,uioafireworkssendcellprefab,uioafirstrechargeprefab,uioafundcellprefab,uioagoldcellprefab,uioagoodexchangecellprefab,uioagrowupcellprefab,uioalistcellaward,uioamonthcardprefab,uioaonlinegiftitemcell,uioarechargecellprefab,uioasevendaysfestivalviewprefab,uioatimelimitedgiftprefab,uioatravelcellprefab,uioatrialboxcellprefab,uioawelfarecellprefab,uioazongziboxcellprefab,uioazongziboxviewprefab,uioazongziexchangecellprefab,uioazongzisendcellprefab,uipanelfinishwinnerhead,uiplayercompareview,uipropertyprefab,uipropprefab,uirandomcard2prefab,uirankingnewprefab,uirankingsimpleinfoprefab,uireloadingcell,uireloadingpopupprefab,uireloadingprefab,uireputationnewprefab,uiresourcejumpprefab,uiresoureprefab,uirollrandomprefab,uisecrettechniqueprefab,uisentelikeprefab,uisentepopup2prefab,uisentepopup3prefab,uisenteprefab,uiseventrialprefab,uishopbasicview,uishopdwaitemprefab,uishopdwaview,uishopgoodsdetailview,uishopguildexploititemprefab,uishopguildexploitview,uishopguildtradeitemprefab,uishophighitemprefab,uishophighlevelview,uishoppopupprefab,uishoprefreshview,uisignrewardprefab,uiskillpopup1prefab,uiskillprefab,uislideprefab,uisliderankingcellprefab,uistarstonecardprefab,uistarstoneexchangeprefab,uistarstonetaskenter,uistarstonetaskenterbuy,uistarstonetaskenteritemhelp,uistarstonetaskenterspeedup,uistrongerprefab,uiswimmingbattleprefab,uiswimmingrankingprefab,uiswimmingrankitemcell,uitaskviewprefab,uiteamflairiconprefab,uiteamflairpopup2prefab,uiteamflairpopup3prefab,uiteamflairpopup4prefab,uiteamflairpopupprefab,uiteamflairprefab,uitipswithiconprefab,uitournamentawardviewprefab,uitournamentchoosefighterprefab,uitournamentfinish2prefab,uitournamentfinishprefab,uitournamentfriendbattleprefab,uitournamentmain,uitournamentpopup2prefab,uitournamentpopupprefab,uitournamentrankingguilditem,uitournamentrankingmyselfitem,uitournamentshopgoodsdetailprefab,uitournamentshopitemprefab,uitournamentshopview,uitreasuryprefab,uitreasuryrecordprefab,uitreasuryshopview,uitrialawardboxprefab,uitrialawardbuffprefab,uitrialawardprefab,uitrialfinishprefab,uitrialgoodsprefab,uitrialprefab,uitrialrankingchildprefab,uitrialrankingprefab,uitrialrankitem,uitrialselectbuffprefab,uitrialselectdifficultyprefab,uitrialselectheroitemcell,uitrialtipsprefab,uiupgradeprefab,uiuserinfochangenickname,uiuserinfoprefab,uivipprefab,uivitprefab,uiwbawarditemaward,uiwustudynew,uizodiacdefense
Font Texture,0,0,Alpha8,False,False,0,1,font
Font Texture,0,0,Alpha8,False,False,0,1,font
FriendshipPhoto01,472,272,ETC2_RGBA8,False,False,128384,1,friendshipphoto01
FriendshipPhoto02,472,272,ETC2_RGBA8,False,False,128384,1,friendshipphoto02
FriendshipPhoto03,472,272,ETC2_RGBA8,False,False,128384,1,friendshipphoto03
FriendshipPhoto04,472,272,ETC2_RGBA8,False,False,128384,1,friendshipphoto04
FriendshipPhoto05,472,272,ETC2_RGBA8,False,False,128384,1,friendshipphoto05
FriendshipPhoto06,472,272,ETC2_RGBA8,False,False,128384,1,friendshipphoto06
FriendshipPhoto07,472,272,ETC2_RGBA8,False,False,128384,1,friendshipphoto07
GuildBuy_colour1,27,30,RGBA32,False,False,3240,1,uitexture_activity
GuildBuy_colour2,23,34,RGBA32,False,False,3128,1,uitexture_activity
GuildBuy_frame,140,512,RGBA32,False,False,286720,1,uitexture_activity
GuildBuy_frame2,512,71,RGBA32,False,False,145408,1,uitexture_activity
GuildBuy_title,410,186,RGBA32,False,False,305040,1,uitexture_activity
Hair01,52,41,ARGB32,False,False,8528,1,uitexture_boss
Hair02,71,51,ARGB32,False,False,14484,1,uitexture_boss
Image_dw_1_01,273,234,ARGB32,False,False,255528,1,image_dw_1_01
Image_dw_1_2,46,96,ARGB32,False,False,17664,1,image_dw_1_2
Image_dw_1_3,128,97,ARGB32,False,False,49664,1,image_dw_1_3
Image_dw_1_4,40,96,ETC2_RGBA8,False,False,3840,1,image_dw_1_4
Image_dw_1_5,140,121,ARGB32,False,False,67760,1,image_dw_1_5
Image_dw_2_1,175,197,ARGB32,False,False,137900,1,image_dw_2_1
Image_dw_2_2,48,152,ETC2_RGBA8,False,False,7296,1,image_dw_2_2
Image_dw_2_3,85,52,ARGB32,False,False,17680,1,image_dw_2_3
Image_dw_2_4,127,77,ARGB32,False,False,39116,1,image_dw_2_4
Image_dw_2_5,131,82,ARGB32,False,False,42968,1,image_dw_2_5
Image_dw_3_1,173,191,ARGB32,False,False,132172,1,image_dw_3_1
Image_dw_3_2,112,156,ETC2_RGBA8,False,False,17472,1,image_dw_3_2
Image_dw_3_3,102,59,ARGB32,False,False,24072,1,image_dw_3_3
Image_dw_3_4,60,70,ARGB32,False,False,16800,1,image_dw_3_4
Image_dw_4_1,174,189,ARGB32,False,False,131544,1,image_dw_4_1
Image_dw_4_2,74,143,ARGB32,False,False,42328,1,image_dw_4_2
Image_dw_4_3,105,50,ARGB32,False,False,21000,1,image_dw_4_3
Image_dw_4_4,134,64,ARGB32,False,False,34304,1,image_dw_4_4
Image_dw_5_1,160,182,ARGB32,False,False,116480,1,image_dw_5_1
Image_dw_5_2,83,138,ARGB32,False,False,45816,1,image_dw_5_2
Image_dw_5_3,117,60,ARGB32,False,False,28080,1,image_dw_5_3
Image_dw_5_4,51,49,ARGB32,False,False,9996,1,image_dw_5_4
Image_dw_6_1,152,174,ARGB32,False,False,105792,1,image_dw_6_1
Image_dw_6_2,57,126,ARGB32,False,False,28728,1,image_dw_6_2
Image_dw_6_3,70,35,ARGB32,False,False,9800,1,image_dw_6_3
Image_dw_6_4,110,56,ARGB32,False,False,24640,1,image_dw_6_4
Image_dw_7_1,142,163,ARGB32,False,False,92584,1,image_dw_7_1
Image_dw_7_2,82,95,ARGB32,False,False,31160,1,image_dw_7_2
Image_dw_7_3,69,41,ARGB32,False,False,11316,1,image_dw_7_3
Image_dw_7_4,40,38,ARGB32,False,False,6080,1,image_dw_7_4
Image_dw_8_1,148,163,ARGB32,False,False,96496,1,image_dw_8_1
Image_dw_8_2,33,65,ARGB32,False,False,8580,1,image_dw_8_2
Image_dw_8_3,46,39,ARGB32,False,False,7176,1,image_dw_8_3
Image_dw_cb_01,68,118,ARGB32,False,False,32096,1,image_dw_cb_01
Image_dw_cb_02,67,60,ARGB32,False,False,16080,1,image_dw_cb_02
Image_dw_cb_03,71,33,ARGB32,False,False,9372,1,image_dw_cb_03
Image_dw_cb_04,59,35,ARGB32,False,False,8260,1,image_dw_cb_04
Image_dw_cb_05,47,25,ARGB32,False,False,4700,1,image_dw_cb_05
Image_dw_cb_06,31,28,ARGB32,False,False,3472,1,image_dw_cb_06
L_Arm,174,143,ARGB32,False,False,99528,1,uitexture_boss
L_cloth,318,238,ARGB32,False,False,302736,1,uitexture_boss
L_foot,76,66,ARGB32,False,False,20064,1,uitexture_boss
L_hand,95,95,ARGB32,False,False,36100,1,uitexture_boss
L_leg,234,131,ARGB32,False,False,122616,1,uitexture_boss
Letterchallenge03,800,444,ETC2_RGBA8,False,False,355200,1,letterchallenge03
LevelsNightmare05,320,180,RGB24,False,False,172800,1,levelsnightmare05
LevelsNightmare06,512,512,ETC_RGB4,False,False,131072,1,levelsnightmare06
LevelsNightmare07,512,512,ETC_RGB4,False,False,131072,1,levelsnightmare07
Light_D,128,128,ETC2_RGBA8,False,False,16384,1,eff_zizhi_13
Lightmap-0_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_ninjia
Lightmap-0_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_mountaintemple
Lightmap-0_comp_light,1024,1024,ETC_RGB4,True,False,699064,1,p_map_main_russia
Lightmap-0_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_cliff
Lightmap-0_comp_light,256,256,RGB24,True,False,262143,1,p_map_main_castle
Lightmap-0_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_wharf
Lightmap-0_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_poolinterface_login
Lightmap-0_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_chaptertwo_temple
Lightmap-0_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_laboratory_night
Lightmap-0_comp_light,512,512,RGB24,True,False,1048575,2,p_map_main_pool,p_map_main_pool_pool_ground
Lightmap-0_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_clocktower1f
Lightmap-0_comp_light,512,512,RGB24,True,False,1048575,1,p_map_main_richman
Lightmap-0_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_poolinterface
Lightmap-0_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_dartactivities
Lightmap-0_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_dwa
Lightmap-0_comp_light,256,256,ETC_RGB4,True,False,43704,2,p_map_main_mountain,placearea_two
Lightmap-0_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_towerbridge
Lightmap-0_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_clocktower2f
Lightmap-0_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_courtyard
Lightmap-0_comp_light,1024,1024,ETC_RGB4,True,False,699064,1,p_map_main_bar
Lightmap-0_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_fightingarena
Lightmap-0_comp_light,512,512,RGB24,True,False,1048575,1,p_map_main_germantown
Lightmap-0_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_main_map_dailyhigher_pata02
Lightmap-0_comp_light,256,256,RGB24,True,False,262143,1,p_map_main_conference
Lightmap-0_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_circus
Lightmap-0_comp_light,512,512,RGB24,True,False,1048575,1,p_map_main_arena
Lightmap-0_comp_light,512,512,RGB24,True,False,1048575,1,p_map_main_coastalvillage
Lightmap-0_comp_light,512,512,RGB24,True,False,1048575,1,p_map_main_demo_ladder_passway
Lightmap-0_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_japaninterface_login
Lightmap-0_comp_light,512,512,RGB24,True,False,1048575,1,p_map_main_desert_wasteland
Lightmap-0_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_cabin
Lightmap-0_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_demo_arenamaininterface
Lightmap-0_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_main_map_dailyhigher_pata01
Lightmap-0_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_russia_maininterface
Lightmap-0_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_laboratory
Lightmap-0_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_chinatown
Lightmap-0_comp_light,256,256,RGB24,True,False,262143,1,p_map_main_gold
Lightmap-0_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_ladder
Lightmap-0_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_ship
Lightmap-0_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_japaninterface
Lightmap-0_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_tokyo
Lightmap-1_comp_light,512,512,RGB24,True,False,1048575,2,p_map_main_pool,p_map_main_pool_pool_ground
Lightmap-1_comp_light,512,512,RGB24,True,False,1048575,1,p_map_main_germantown
Lightmap-1_comp_light,256,256,ETC_RGB4,True,False,43704,2,p_map_main_mountain,placearea_two
Lightmap-1_comp_light,256,256,RGB24,True,False,262143,1,p_map_main_conference
Lightmap-1_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_mountaintemple
Lightmap-1_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_chaptertwo_temple
Lightmap-1_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_ninjia
Lightmap-1_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_chinatown
Lightmap-1_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_circus
Lightmap-1_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_russia_maininterface
Lightmap-1_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_russia
Lightmap-1_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_japaninterface_login
Lightmap-1_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_ship
Lightmap-1_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_wharf
Lightmap-1_comp_light,128,128,ETC_RGB4,True,False,10936,1,p_map_main_dwa
Lightmap-1_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_main_map_dailyhigher_pata01
Lightmap-1_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_poolinterface_login
Lightmap-1_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_castle
Lightmap-1_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_main_map_dailyhigher_pata02
Lightmap-1_comp_light,512,512,RGB24,True,False,1048575,1,p_map_main_richman
Lightmap-1_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_laboratory
Lightmap-1_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_fightingarena
Lightmap-1_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_towerbridge
Lightmap-1_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_cliff
Lightmap-1_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_clocktower2f
Lightmap-1_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_japaninterface
Lightmap-1_comp_light,512,512,RGB24,True,False,1048575,1,p_map_main_coastalvillage
Lightmap-1_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_demo_arenamaininterface
Lightmap-1_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_clocktower1f
Lightmap-1_comp_light,512,512,RGB24,True,False,1048575,1,p_map_main_desert_wasteland
Lightmap-1_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_gold
Lightmap-1_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_ladder
Lightmap-1_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_tokyo
Lightmap-1_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_poolinterface
Lightmap-2_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_poolinterface_login
Lightmap-2_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_conference
Lightmap-2_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_cliff
Lightmap-2_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_ship
Lightmap-2_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_russia_maininterface
Lightmap-2_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_main_map_dailyhigher_pata01
Lightmap-2_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_russia
Lightmap-2_comp_light,256,256,ETC_RGB4,True,False,43704,2,p_map_main_mountain,placearea_two
Lightmap-2_comp_light,512,512,RGB24,True,False,1048575,2,p_map_main_pool,p_map_main_pool_pool_ground
Lightmap-2_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_ninjia
Lightmap-2_comp_light,256,256,ETC_RGB4,True,False,43704,1,p_map_main_demo_arenamaininterface
Lightmap-2_comp_light,256,256,RGB24,True,False,262143,1,p_map_main_castle
Lightmap-2_comp_light,512,512,ETC_RGB4,True,False,174776,1,p_map_main_poolinterface
